GWAS,Cell type,P,Significant
Breast cancer (2017),Erthyroid cells,0.19,FALSE
Breast cancer (2017),CD3+ αβ T cells,0.32,FALSE
Breast cancer (2017),Inflammatory macrophages,0.72,FALSE
Breast cancer (2017),Hep 3,0.73,FALSE
Breast cancer (2017),Non-inflammatory Macrophages,0.74,FALSE
Breast cancer (2017),Periportal LSECs,0.8,FALSE
Breast cancer (2017),Portal endothelial cells,0.81,FALSE
Breast cancer (2017),γδ T cells 1,0.82,FALSE
Breast cancer (2017),Central venous LSECs,0.83,FALSE
Breast cancer (2017),Hep 2,0.92,FALSE
Breast cancer (2017),Hep 4,0.96,FALSE
Breast cancer (2017),Hep 1,0.98,FALSE
Breast cancer (2017),Hep 6,0.99,FALSE
Breast cancer (2017),Hep 5,1,FALSE
