GWAS,Cell type,P,Significant
EA (2018),Inflammatory macrophages,0.92471,FALSE
EA (2018),NK-like cells,0.8748,FALSE
EA (2018),γδ T cells 1,0.80948,FALSE
EA (2018),Hep 5,0.89474,FALSE
EA (2018),Portal endothelial cells,0.79906,FALSE
EA (2018),γδ T cells 2,0.18792,FALSE
EA (2018),Periportal LSECs,0.73657,FALSE
EA (2018),Hep 6,0.59714,FALSE
EA (2018),Mature B cells,0.88412,FALSE
EA (2018),Stellate cells,0.72083,FALSE
EA (2018),Antibody secreting B cells,0.98237,FALSE
EA (2018),Erthyroid cells,0.089054,FALSE
EA (2018),Hep 2,0.84811,FALSE
EA (2018),Hep 3,0.94813,FALSE
EA (2018),Hep 1,0.97121,FALSE
EA (2018),Hep 4,0.84027,FALSE
BMI (2015),Central venous LSECs,0.37301,FALSE
BMI (2015),Cholangiocytes,0.94048,FALSE
BMI (2015),Non-inflammatory Macrophages,0.82931,FALSE
BMI (2015),CD3+ αβ T cells,0.85141,FALSE
BMI (2015),Inflammatory macrophages,0.86561,FALSE
BMI (2015),NK-like cells,0.38115,FALSE
BMI (2015),γδ T cells 1,0.46142,FALSE
BMI (2015),Hep 5,0.32009,FALSE
BMI (2015),Portal endothelial cells,0.99171,FALSE
BMI (2015),γδ T cells 2,0.19174,FALSE
BMI (2015),Periportal LSECs,0.82825,FALSE
BMI (2015),Hep 6,0.75369,FALSE
BMI (2015),Mature B cells,0.18046,FALSE
BMI (2015),Stellate cells,0.39147,FALSE
BMI (2015),Antibody secreting B cells,0.71257,FALSE
BMI (2015),Erthyroid cells,0.20351,FALSE
BMI (2015),Hep 2,0.36654,FALSE
BMI (2015),Hep 3,0.93419,FALSE
BMI (2015),Hep 1,0.52749,FALSE
BMI (2015),Hep 4,0.77374,FALSE
Breast cancer (2017),Central venous LSECs,0.81389,FALSE
Breast cancer (2017),Cholangiocytes,0.15723,FALSE
Breast cancer (2017),Non-inflammatory Macrophages,0.60411,FALSE
Breast cancer (2017),CD3+ αβ T cells,0.4843,FALSE
Breast cancer (2017),Inflammatory macrophages,0.50106,FALSE
Breast cancer (2017),NK-like cells,0.42888,FALSE
Breast cancer (2017),γδ T cells 1,0.77895,FALSE
Breast cancer (2017),Hep 5,0.65744,FALSE
Breast cancer (2017),Portal endothelial cells,0.79691,FALSE
Breast cancer (2017),γδ T cells 2,0.35128,FALSE
Breast cancer (2017),Periportal LSECs,0.31471,FALSE
Breast cancer (2017),Hep 6,0.74708,FALSE
Breast cancer (2017),Mature B cells,0.43422,FALSE
Breast cancer (2017),Stellate cells,0.010223,FALSE
Breast cancer (2017),Antibody secreting B cells,0.52438,FALSE
Breast cancer (2017),Erthyroid cells,0.0084795,FALSE
Breast cancer (2017),Hep 2,0.93051,FALSE
Breast cancer (2017),Hep 3,0.8611,FALSE
Breast cancer (2017),Hep 1,0.91581,FALSE
Breast cancer (2017),Hep 4,0.63315,FALSE
