GWAS,Cell type,P,Significant
BMI (2015),Stellate cells,0.10862,FALSE
BMI (2015),Antibody secreting B cells,0.40994,FALSE
BMI (2015),Erthyroid cells,0.42346,FALSE
BMI (2015),Hep 2,0.074978,FALSE
BMI (2015),Hep 3,0.02085,FALSE
BMI (2015),Hep 1,0.23227,FALSE
BMI (2015),Hep 4,0.16824,FALSE
Breast cancer ,Central venous LSECs,0.41132,FALSE
Breast cancer ,Cholangiocytes,0.044277,FALSE
Breast cancer ,Non-inflammatory Macrophages,0.32382,FALSE
Breast cancer ,CD3+ αβ T cells,0.062034,FALSE
Breast cancer ,Inflammatory macrophages,0.28594,FALSE
Breast cancer ,NK-like cells,0.01647,FALSE
Breast cancer ,γδ T cells 1,0.33722,FALSE
Breast cancer ,Hep 5,0.12263,FALSE
Breast cancer ,Portal endothelial cells,0.40562,FALSE
Breast cancer ,γδ T cells 2,0.059894,FALSE
Breast cancer ,Periportal LSECs,0.52419,FALSE
Breast cancer ,Hep 6,0.57102,FALSE
Breast cancer ,Mature B cells,0.31609,FALSE
Breast cancer ,Stellate cells,0.27959,FALSE
Breast cancer ,Antibody secreting B cells,0.36646,FALSE
Breast cancer ,Erthyroid cells,0.014625,FALSE
Breast cancer ,Hep 2,0.074089,FALSE
Breast cancer ,Hep 3,0.4373,FALSE
Breast cancer ,Hep 1,0.13233,FALSE
Breast cancer ,Hep 4,0.13587,FALSE
